Year,Ceremony,Award,Winner,Name,Film,,,
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)",,Music and lyrics by Leslie Bricusse,"Goodbye, Mr. Chips ", adaptation score by John Williams,,
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)",1,Adaptation score by Lennie Hayton and Lionel Newman,"Hello, Dolly! ",,,
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)",,Adaptation score by Nelson Riddle,Paint Your Wagon ,,,
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)",,Adaptation score by Cy Coleman,Sweet Charity ,,,
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)",,Adaptation score by John Green and Albert Woodbury,"They Shoot Horses, Don't They? ",,,
1969,42,"Music (Song, Original for the Picture)",,Music by Fred Karlin,"""Come Saturday Morning"" from The Sterile Cuckoo", Lyrics by Dory Previn,,
1969,42,"Music (Song, Original for the Picture)",,Music and Lyrics by Rod McKuen,"""Jean"" from The Prime of Miss Jean Brodie",,,
1969,42,"Music (Song, Original for the Picture)",1,Music by Burt Bacharach,"""Raindrops Keep Fallin' On My Head"" from Butch Cassidy and the Sundance Kid", Lyrics by Hal David,,
1969,42,"Music (Song, Original for the Picture)",,Music by Elmer Bernstein,"""True Grit"" from True Grit", Lyrics by Don Black,,
1969,42,"Music (Song, Original for the Picture)",,Music by Michel Legrand,"""What Are You Doing The Rest Of Your Life?"" from The Happy Ending", Lyrics by Alan Bergman and Marilyn Bergman,,
1969,42,Best Picture,,"Hal B. Wallis, Producer",Anne of the Thousand Days ,,,
1969,42,Best Picture,,"John Foreman, Producer",Butch Cassidy and the Sundance Kid ,,,
1969,42,Best Picture,,"Ernest Lehman, Producer","Hello, Dolly! ",,,
1969,42,Best Picture,1,"Jerome Hellman, Producer",Midnight Cowboy ,,,
1969,42,Best Picture,,"Jacques Perrin and Hamed Rachedi, Producers",Z ,,,
1969,42,Short Subject (Cartoon),1,"Ward Kimball, Producer",It's Tough to Be a Bird ,,,
1969,42,Short Subject (Cartoon),,"John Hubley and Faith Hubley, Producers",Of Men and Demons ,,,
1969,42,Short Subject (Cartoon),,"Ryan Larkin, Producer",Walking ,,,
1969,42,Short Subject (Live Action),,"Doug Jackson, Producer",Blake ,,,
1969,42,Short Subject (Live Action),1,"Joan Keller Stern, Producer",The Magic Machines ,,,
1969,42,Short Subject (Live Action),,"Marc Merson, Producer",People Soup ,,,
1969,42,Sound,,John Aldred,Anne of the Thousand Days ,,,
1969,42,Sound,,"William Edmondson, David Dockendorf",Butch Cassidy and the Sundance Kid ,,,
1969,42,Sound,,"Robert Martin, Clem Portman","Gaily, Gaily ",,,
1969,42,Sound,1,"Jack Solomon, Murray Spivack","Hello, Dolly! ",,,
1969,42,Sound,,"Les Fresholtz, Arthur Piantadosi",Marooned ,,,
1969,42,Special Visual Effects,,"Eugene Lourie, Alex Weldon","Krakatoa, East of Java ",,,
1969,42,Special Visual Effects,1,Robbie Robertson,Marooned ,,,
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",,"Screenplay by John Hale, Bridget Boland; Adaptation by Richard Sokolove",Anne of the Thousand Days ,,,
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",,Arnold Schulman,"Goodbye, Columbus ",,,
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",1,Waldo Salt,Midnight Cowboy ,,,
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",,"James Poe, Robert E. Thompson","They Shoot Horses, Don't They? ",,,
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",,"Jorge Semprun, Costa-Gavras",Z ,,,
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",,"Paul Mazursky, Larry Tucker",Bob & Carol & Ted & Alice ,,,
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",1,William Goldman,Butch Cassidy and the Sundance Kid ,,,
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",,"Story by Nicola Badalucco;  Screenplay by Nicola Badalucco, Enrico Medioli, Luchino Visconti",The Damned ,,,
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",,"Peter Fonda, Dennis Hopper, Terry Southern",Easy Rider ,,,
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",,"Story by Walon Green, Roy N. Sickner; Screenplay by Walon Green, Sam Peckinpah",The Wild Bunch ,,,
1969,42,Jean Hersholt Humanitarian Award,1,George Jessel,,,,
1969,42,Honorary Award,1,Cary Grant,,,,
1970,43,Actor,,Melvyn Douglas,I Never Sang for My Father,,,
1970,43,Actor,,James Earl Jones,The Great White Hope,,,
1970,43,Actor,,Jack Nicholson,Five Easy Pieces,,,
1970,43,Actor,,Ryan O'Neal,Love Story,,,
1970,43,Actor,1,George C. Scott,Patton,,,
1970,43,Actor in a Supporting Role,,Richard Castellano,Lovers and Other Strangers,,,
1970,43,Actor in a Supporting Role,,Chief Dan George,Little Big Man,,,
1970,43,Actor in a Supporting Role,,Gene Hackman,I Never Sang for My Father,,,
1970,43,Actor in a Supporting Role,,John Marley,Love Story,,,
1970,43,Actor in a Supporting Role,1,John Mills,Ryan's Daughter,,,
1970,43,Actress,,Jane Alexander,The Great White Hope,,,
1970,43,Actress,1,Glenda Jackson,Women in Love,,,
1970,43,Actress,,Ali MacGraw,Love Story,,,
1970,43,Actress,,Sarah Miles,Ryan's Daughter,,,
1970,43,Actress,,Carrie Snodgress,Diary of a Mad Housewife,,,
1970,43,Actress in a Supporting Role,,Karen Black,Five Easy Pieces,,,
1970,43,Actress in a Supporting Role,,Lee Grant,The Landlord,,,
1970,43,Actress in a Supporting Role,1,Helen Hayes,Airport,,,
1970,43,Actress in a Supporting Role,1,Sally Kellerman,MA*S*H,,,
1970,43,Actress in a Supporting Role,,Maureen Stapleton,Airport,,,
1970,43,Art Direction,,"Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Jack D. Moore, Mickey S. Michaels",Airport ,,,
1970,43,Art Direction,,Art Direction: Tambi Larsen,The Molly Maguires , Set Decoration: Darrell Silvera,,
1970,43,Art Direction,1,"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet",Patton ,,,
1970,43,Art Direction,,"Art Direction: Terry Marsh, Bob Cartwright; Set Decoration: Pamela Cornell",Scrooge ,,,
1970,43,Art Direction,,"Art Direction: Jack Martin Smith, Yoshiro Muraki, Richard Day, Taizoh Kawashima; Set Decoration: Walter M. Scott, Norman Rockett, Carl Biddiscombe",Tora! Tora! Tora! ,,,
1970,43,Cinematography,,Ernest Laszlo,Airport ,,,
1970,43,Cinematography,,Fred Koenekamp,Patton ,,,
1970,43,Cinematography,1,Freddie Young,Ryan's Daughter ,,,
1970,43,Cinematography,,"Charles F. Wheeler, Osami Furuya, Sinsaku Himeda, Masamichi Satoh",Tora! Tora! Tora! ,,,
1970,43,Cinematography,,Billy Williams,Women in Love ,,,
1970,43,Costume Design,,Edith Head,Airport ,,,
1970,43,Costume Design,1,Nino Novarese,Cromwell ,,,
1970,43,Costume Design,,"Donald Brooks, Jack Bear",Darling Lili ,,,
1970,43,Costume Design,,Bill Thomas,The Hawaiians ,,,
1970,43,Costume Design,,Margaret Furse,Scrooge ,,,
1970,43,Directing,,Federico Fellini,Fellini Satyricon ,,,
1970,43,Directing,,Arthur Hiller,Love Story ,,,
1970,43,Directing,1,Robert Altman,MA*S*H ,,,
1970,43,Directing,1,Franklin J. Schaffner,Patton ,,,
1970,43,Directing,,Ken Russell,Women in Love ,,,
1970,43,Documentary (Feature),,"Dr. Harald Reinl, Producer",Chariots of the Gods ,,,
1970,43,Documentary (Feature),,"Jim Jacobs, Producer",Jack Johnson ,,,
1970,43,Documentary (Feature),,"Ely Landau, Producer",King: A Filmed Record...Montgomery to Memphis ,,,
1970,43,Documentary (Feature),,"David H. Vowell, Producer",Say Goodbye ,,,
1970,43,Documentary (Feature),1,"Bob Maurice, Producer",Woodstock ,,,
1970,43,Documentary (Short Subject),,"Robert McBride, Producer",The Gifts ,,,
1970,43,Documentary (Short Subject),1,"Joseph Strick, Producer",Interviews with My Lai Veterans ,,,
1970,43,Documentary (Short Subject),,"Bob Aller, Producer",A Long Way from Nowhere ,,,
1970,43,Documentary (Short Subject),,"Vivien Carey and Patrick Carey, Producers",Oisin ,,,
1970,43,Documentary (Short Subject),,"Horst Dallmayr and Robert Menegoz, Producers",Time Is Running Out ,,,
1970,43,Film Editing,,Stuart Gilmore,Airport ,,,
1970,43,Film Editing,1,Danford B. Greene,MA*S*H ,,,
1970,43,Film Editing,1,Hugh S. Fowler,Patton ,,,
1970,43,Film Editing,,"James E. Newcom, Pembroke J. Herring, Inoue Chikaya",Tora! Tora! Tora! ,,,
1970,43,Film Editing,,Thelma Schoonmaker,Woodstock ,,,
1970,43,Foreign Language Film,,Switzerland,First Love ,,,
1970,43,Foreign Language Film,,France,Hoa-Binh ,,,
1970,43,Foreign Language Film,1,Italy,Investigation of a Citizen above Suspicion ,,,
1970,43,Foreign Language Film,,Belgium,Paix Sur Les Champs ,,,
1970,43,Foreign Language Film,,Spain,Tristana ,,,
1970,43,Music (Original Score),,Alfred Newman,Airport ,,,
1970,43,Music (Original Score),,Frank Cordell,Cromwell ,,,
1970,43,Music (Original Score),1,Francis Lai,Love Story ,,,
1970,43,Music (Original Score),,Jerry Goldsmith,Patton ,,,
1970,43,Music (Original Score),,Henry Mancini,Sunflower ,,,
1970,43,Music (Original Song Score),,Music by Fred Karlin,The Baby Maker , lyrics by Tylwyth Kymry,,
1970,43,Music (Original Song Score),,"Music by Rod McKuen and John Scott Trotter; lyrics by Rod McKuen, Bill Melendez and Al Shean; adaptation score by Vince Guaraldi",A Boy Named Charlie Brown ,,,
1970,43,Music (Original Song Score),,Music by Henry Mancini,Darling Lili , lyrics by Johnny Mercer,,
1970,43,Music (Original Song Score),1,Music and lyrics by The Beatles,Let It Be ,,,
1970,43,Music (Original Song Score),,Music and lyrics by Leslie Bricusse,Scrooge , adaptation score by Ian Fraser and Herbert W. Spencer,,
1970,43,"Music (Song, Original for the Picture)",1,Music by Fred Karlin,"""For All We Know"" from Lovers and Other Strangers", Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),,
1970,43,"Music (Song, Original for the Picture)",,Music by Michel Legrand,"""Pieces Of Dreams"" from Pieces of Dreams", Lyrics by Alan Bergman and Marilyn Bergman,,
1970,43,"Music (Song, Original for the Picture)",,Music and Lyrics by Leslie Bricusse,"""Thank You Very Much"" from Scrooge",,,
1970,43,"Music (Song, Original for the Picture)",,Music by Riz Ortolani,"""Till Love Touches Your Life"" from Madron", Lyrics by Arthur Hamilton,,
1970,43,"Music (Song, Original for the Picture)",,Music by Henry Mancini,"""Whistling Away The Dark"" from Darling Lili", Lyrics by Johnny Mercer,,
1970,43,Best Picture,,"Ross Hunter, Producer",Airport ,,,
1970,43,Best Picture,,"Bob Rafelson and Richard Wechsler, Producers",Five Easy Pieces ,,,
1970,43,Best Picture,,"Howard G. Minsky, Producer",Love Story ,,,
1970,43,Best Picture,1,"Ingo Preminger, Producer",MA*S*H ,,,
1970,43,Best Picture,1,"Frank McCarthy, Producer",Patton ,,,
1970,43,Short Subject (Cartoon),,"Robert Mitchell and Dale Case, Producers",The Further Adventures of Uncle Sam: Part Two ,,,
1970,43,Short Subject (Cartoon),1,"Nick Bosustow, Producer",Is It Always Right to Be Right? ,,,
1970,43,Short Subject (Cartoon),,"Cameron Guess, Producer",The Shepherd ,,,
1970,43,Short Subject (Live Action),1,"John Longenecker, Producer",The Resurrection of Broncho Billy ,,,
1970,43,Short Subject (Live Action),,"Robert Siegler, Producer",Shut Up...I'm Crying ,,,
1970,43,Short Subject (Live Action),,"John Hancock, Producer",Sticky My Fingers...Fleet My Feet ,,,
1970,43,Sound,,"Ronald Pierce, David Moriarty",Airport ,,,
1970,43,Sound,1,"Douglas Williams, Don Bassman",Patton ,,,
1970,43,Sound,,"Gordon K. McCallum, John Bramall",Ryan's Daughter ,,,
1970,43,Sound,,"Murray Spivack, Herman Lewis",Tora! Tora! Tora! ,,,
1970,43,Sound,,"Dan Wallin, Larry Johnson",Woodstock ,,,
1970,43,Special Visual Effects,,Alex Weldon,Patton ,,,
1970,43,Special Visual Effects,1,"A. D. Flowers, L. B. Abbott",Tora! Tora! Tora! ,,,
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",,George Seaton,Airport ,,,
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",,Robert Anderson,I Never Sang for My Father ,,,
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",,"Renee Taylor, Joseph Bologna, David Zelag Goodman",Lovers and Other Strangers ,,,
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",1,"Ring Lardner, Jr.",M*A*S*H ,,,
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",,Larry Kramer,Women in Love ,,,
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,"Story by Bob Rafelson, Adrien Joyce; Screenplay by Adrien Joyce",Five Easy Pieces ,,,
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,Norman Wexler,Joe ,,,
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,Erich Segal,Love Story ,,,
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,Eric Rohmer,My Night at Maud's ,,,
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",1,"Francis Ford Coppola, Edmund H. North",Patton ,,,
1970,43,Jean Hersholt Humanitarian Award,1,Frank Sinatra,,,,
1970,43,Honorary Award,1,Lillian Gish,,,,
1970,43,Honorary Award,1,Orson Welles,,,,
1970,43,Irving G. Thalberg Memorial Award,1,Ingmar Bergman,,,,
1971,44,Actor,,Peter Finch,Sunday Bloody Sunday,,,
1971,44,Actor,1,Gene Hackman,The French Connection,,,
1971,44,Actor,,Walter Matthau,Kotch,,,
1971,44,Actor,,George C. Scott,The Hospital,,,
1971,44,Actor,,Topol,Fiddler on the Roof,,,
1971,44,Actor in a Supporting Role,,Jeff Bridges,The Last Picture Show,,,
1971,44,Actor in a Supporting Role,,Leonard Frey,Fiddler on the Roof,,,
1971,44,Actor in a Supporting Role,,Richard Jaeckel,Sometimes a Great Notion,,,
1971,44,Actor in a Supporting Role,1,Ben Johnson,The Last Picture Show,,,
1971,44,Actor in a Supporting Role,,Roy Scheider,The French Connection,,,
1971,44,Actress,,Julie Christie,McCabe & Mrs. Miller,,,
1971,44,Actress,1,Jane Fonda,Klute,,,
1971,44,Actress,,Glenda Jackson,Sunday Bloody Sunday,,,
1971,44,Actress,,Vanessa Redgrave,"Mary, Queen of Scots",,,
1971,44,Actress,,Janet Suzman,Nicholas and Alexandra,,,
1971,44,Actress in a Supporting Role,,Ann-Margret,Carnal Knowledge,,,
1971,44,Actress in a Supporting Role,,Ellen Burstyn,The Last Picture Show,,,
1971,44,Actress in a Supporting Role,,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,,,
1971,44,Actress in a Supporting Role,1,Cloris Leachman,The Last Picture Show,,,
1971,44,Actress in a Supporting Role,,Margaret Leighton,The Go-Between,,,
1971,44,Art Direction,,"Art Direction: Boris Leven, William Tuntke; Set Decoration: Ruby Levitt",The Andromeda Strain ,,,
1971,44,Art Direction,,"Art Direction: John B. Mansbridge, Peter Ellenshaw; Set Decoration: Emile Kuri, Hal Gausman",Bedknobs and Broomsticks ,,,
1971,44,Art Direction,,"Art Direction: Robert Boyle, Michael Stringer; Set Decoration: Peter Lamont",Fiddler on the Roof ,,,
1971,44,Art Direction,,"Art Direction: Terence Marsh, Robert Cartwright; Set Decoration: Peter Howitt","Mary, Queen of Scots ",,,
1971,44,Art Direction,1,"Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon",Nicholas and Alexandra ,,,
1971,44,Cinematography,1,Oswald Morris,Fiddler on the Roof ,,,
1971,44,Cinematography,,Owen Roizman,The French Connection ,,,
1971,44,Cinematography,,Robert Surtees,The Last Picture Show ,,,
1971,44,Cinematography,,Freddie Young,Nicholas and Alexandra ,,,
1971,44,Cinematography,,Robert Surtees,Summer of '42 ,,,
1971,44,Costume Design,,Bill Thomas,Bedknobs and Broomsticks ,,,
1971,44,Costume Design,,Piero Tosi,Death in Venice ,,,
1971,44,Costume Design,,Margaret Furse,"Mary, Queen of Scots ",,,
1971,44,Costume Design,1,"Yvonne Blake, Antonio Castillo",Nicholas and Alexandra ,,,
1971,44,Costume Design,,Morton Haack,What's the Matter with Helen? ,,,
1971,44,Directing,,Stanley Kubrick,A Clockwork Orange ,,,
1971,44,Directing,,Norman Jewison,Fiddler on the Roof ,,,
1971,44,Directing,1,William Friedkin,The French Connection ,,,
1971,44,Directing,,Peter Bogdanovich,The Last Picture Show ,,,
1971,44,Directing,,John Schlesinger,Sunday Bloody Sunday ,,,
1971,44,Documentary (Feature),,"Alan Landsburg, Producer",Alaska Wilderness Lake ,,,
1971,44,Documentary (Feature),1,"Walon Green, Producer",The Hellstrom Chronicle ,,,
1971,44,Documentary (Feature),,"Bruce Brown, Producer",On Any Sunday ,,,
1971,44,Documentary (Feature),,"Lennart Ehrenborg and Thor Heyerdahl, Producers",The RA Expeditions ,,,
1971,44,Documentary (Feature),,"Marcel Ophuls, Producer",The Sorrow and the Pity ,,,
1971,44,Documentary (Short Subject),,"Han van Gelder, Producer",Adventures in Perception ,,,
1971,44,Documentary (Short Subject),,"Julian Krainin and DeWitt L. Sage, Jr., Producers",Art Is... ,,,
1971,44,Documentary (Short Subject),,"Donald Wrye, Producer",The Numbers Start with the River ,,,
1971,44,Documentary (Short Subject),1,"Manuel Arango and Robert Amram, Producers",Sentinels of Silence ,,,
1971,44,Documentary (Short Subject),,"Hal Riney, Dick Snider and Sherwood Omens, Producers",Somebody Waiting ,,,
1971,44,Film Editing,,"Stuart Gilmore, John W. Holmes",The Andromeda Strain ,,,
1971,44,Film Editing,,Bill Butler,A Clockwork Orange ,,,
1971,44,Film Editing,1,Jerry Greenberg,The French Connection ,,,
1971,44,Film Editing,,Ralph E. Winters,Kotch ,,,
1971,44,Film Editing,,Folmar Blangsted,Summer of '42 ,,,
1971,44,Foreign Language Film,,Japan,Dodes'ka-Den ,,,
1971,44,Foreign Language Film,,Sweden,The Emigrants ,,,
1971,44,Foreign Language Film,1,Italy,The Garden of the Finzi Continis ,,,
1971,44,Foreign Language Film,,Israel,The Policeman ,,,
1971,44,Foreign Language Film,,Union of Soviet Socialist Republics,Tchaikovsky ,,,
1971,44,Music (Original Dramatic Score),,John Barry,"Mary, Queen of Scots ",,,
1971,44,Music (Original Dramatic Score),,Richard Rodney Bennett,Nicholas and Alexandra ,,,
1971,44,Music (Original Dramatic Score),,Isaac Hayes,Shaft ,,,
1971,44,Music (Original Dramatic Score),,Jerry Fielding,Straw Dogs ,,,
1971,44,Music (Original Dramatic Score),1,Michel Legrand,Summer of '42 ,,,
1971,44,Music (Scoring: Adaptation and Original Song Score),,Song Score by Richard M. Sherman and Robert B. Sherman,Bedknobs and Broomsticks , Adaptation Score by Irwin Kostal,,
1971,44,Music (Scoring: Adaptation and Original Song Score),,Adaptation Score by Peter Maxwell Davies and Peter Greenwell,The Boy Friend ,,,
1971,44,Music (Scoring: Adaptation and Original Song Score),1,Adaptation Score by John Williams,Fiddler on the Roof ,,,
1971,44,Music (Scoring: Adaptation and Original Song Score),,Adaptation Score by Dimitri Tiomkin,Tchaikovsky ,,,
1971,44,Music (Scoring: Adaptation and Original Song Score),,Song Score by Leslie Bricusse and Anthony Newley,Willy Wonka and the Chocolate Factory , Adaptation Score by Walter Scharf,,
1971,44,"Music (Song, Original for the Picture)",,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,"""The Age Of Not Believing"" from Bedknobs and Broomsticks",,,
1971,44,"Music (Song, Original for the Picture)",,Music by Henry Mancini,"""All His Children"" from Sometimes a Great Notion", Lyrics by Alan Bergman and Marilyn Bergman,,
1971,44,"Music (Song, Original for the Picture)",,"Music and Lyrics by Barry DeVorzon and Perry Botkin, Jr.","""Bless The Beasts & Children"" from Bless the Beasts & Children",,,
1971,44,"Music (Song, Original for the Picture)",,Music by Marvin Hamlisch,"""Life Is What You Make It"" from Kotch", Lyrics by Johnny Mercer,,
1971,44,"Music (Song, Original for the Picture)",1,Music and Lyrics by Isaac Hayes,"""Theme From Shaft"" from Shaft",,,
1971,44,Best Picture,,"Stanley Kubrick, Producer",A Clockwork Orange ,,,
1971,44,Best Picture,,"Norman Jewison, Producer",Fiddler on the Roof ,,,
1971,44,Best Picture,1,"Philip D'Antoni, Producer",The French Connection ,,,
1971,44,Best Picture,,"Stephen J. Friedman, Producer",The Last Picture Show ,,,
1971,44,Best Picture,,"Sam Spiegel, Producer",Nicholas and Alexandra ,,,
1971,44,Short Subject (Animated),1,"Ted Petok, Producer",The Crunch Bird ,,,
1971,44,Short Subject (Animated),,"Michael Mills, Producer",Evolution ,,,
1971,44,Short Subject (Animated),,"Peter Sander and Murray Shostak, Producers",The Selfish Giant ,,,
1971,44,Short Subject (Live Action),,"Denny Evans and Ken Greenwald, Producers",Good Morning ,,,
1971,44,Short Subject (Live Action),,"Stephen F. Verona, Producer",The Rehearsal ,,,
1971,44,Short Subject (Live Action),1,"Manuel Arango and Robert Amram, Producers",Sentinels of Silence ,,,
1971,44,Sound,,"Gordon K. McCallum, John Mitchell, Alfred J. Overton",Diamonds Are Forever ,,,
1971,44,Sound,1,"Gordon K. McCallum, David Hildyard",Fiddler on the Roof ,,,
1971,44,Sound,,"Theodore Soderberg, Christopher Newman",The French Connection ,,,
1971,44,Sound,,"Richard Portman, Jack Solomon",Kotch ,,,
1971,44,Sound,,"Bob Jones, John Aldred","Mary, Queen of Scots ",,,
1971,44,Special Visual Effects,1,"Alan Maley, Eustace Lycett, Danny Lee",Bedknobs and Broomsticks ,,,
1971,44,Special Visual Effects,,"Jim Danforth, Roger Dicken",When Dinosaurs Ruled the Earth ,,,
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",,Stanley Kubrick,A Clockwork Orange ,,,
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",,Bernardo Bertolucci,The Conformist ,,,
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",1,Ernest Tidyman,The French Connection ,,,
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",,"Ugo Pirro, Vittorio Bonicelli",The Garden of the Finzi Continis ,,,
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",,"Larry McMurtry, Peter Bogdanovich",The Last Picture Show ,,,
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",1,Paddy Chayefsky,The Hospital ,,,
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,"Elio Petri, Ugo Pirro",Investigation of a Citizen above Suspicion ,,,
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,"Andy Lewis, Dave Lewis",Klute ,,,
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,Herman Raucher,Summer of '42 ,,,
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",,Penelope Gilliatt,Sunday Bloody Sunday ,,,
1971,44,Honorary Award,1,Charles Chaplin,,,,
1972,45,Actor,1,Marlon Brando,The Godfather,,,
1972,45,Actor,,Michael Caine,Sleuth,,,
1972,45,Actor,,Laurence Olivier,Sleuth,,,
1972,45,Actor,,Peter O'Toole,The Ruling Class,,,
1972,45,Actor,,Paul Winfield,Sounder,,,
1972,45,Actor in a Supporting Role,,Eddie Albert,The Heartbreak Kid,,,
1972,45,Actor in a Supporting Role,,James Caan,The Godfather,,,
1972,45,Actor in a Supporting Role,,Robert Duvall,The Godfather,,,
1972,45,Actor in a Supporting Role,1,Joel Grey,Cabaret,,,
1972,45,Actor in a Supporting Role,,Al Pacino,The Godfather,,,
1972,45,Actress,1,Liza Minnelli,Cabaret,,,
1972,45,Actress,,Diana Ross,Lady Sings the Blues,,,
1972,45,Actress,,Maggie Smith,Travels with My Aunt,,,
1972,45,Actress,,Cicely Tyson,Sounder,,,
1972,45,Actress,,Liv Ullmann,The Emigrants,,,
1972,45,Actress in a Supporting Role,,Jeannie Berlin,The Heartbreak Kid,,,
1972,45,Actress in a Supporting Role,1,Eileen Heckart,Butterflies Are Free,,,
1972,45,Actress in a Supporting Role,,Geraldine Page,Pete 'n' Tillie,,,
1972,45,Actress in a Supporting Role,,Susan Tyrrell,Fat City,,,
1972,45,Actress in a Supporting Role,,Shelley Winters,The Poseidon Adventure,,,
1972,45,Art Direction,1,"Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel",Cabaret ,,,
1972,45,Art Direction,,Art Direction: Carl Anderson,Lady Sings the Blues , Set Decoration: Reg Allen,,
1972,45,Art Direction,,Art Direction: William Creber,The Poseidon Adventure , Set Decoration: Raphael Bretton,,
1972,45,Art Direction,,"Art Direction: John Box, Gil Parrondo, Robert W. Laing",Travels with My Aunt ,,,
1972,45,Art Direction,,"Art Direction: Geoffrey Drake, Don Ashton, John Graysmark, William Hutchinson; Set Decoration: Peter James",Young Winston ,,,
1972,45,Cinematography,,Charles B. Lang,Butterflies Are Free ,,,
1972,45,Cinematography,1,Geoffrey Unsworth,Cabaret ,,,
1972,45,Cinematography,,Harold E. Stine,The Poseidon Adventure ,,,
1972,45,Cinematography,,"Harry Stradling, Jr.",1776,,,
1972,45,Cinematography,,Douglas Slocombe,Travels with My Aunt ,,,
1972,45,Costume Design,,Anna Hill Johnstone,The Godfather ,,,
1972,45,Costume Design,,"Bob Mackie, Ray Aghayan, Norma Koch",Lady Sings the Blues ,,,
1972,45,Costume Design,,Paul Zastupnevich,The Poseidon Adventure ,,,
1972,45,Costume Design,1,Anthony Powell,Travels with My Aunt ,,,
1972,45,Costume Design,,Anthony Mendleson,Young Winston ,,,
1972,45,Directing,1,Bob Fosse,Cabaret ,,,
1972,45,Directing,,John Boorman,Deliverance ,,,
1972,45,Directing,,Jan Troell,The Emigrants ,,,
1972,45,Directing,,Francis Ford Coppola,The Godfather ,,,
1972,45,Directing,,Joseph L. Mankiewicz,Sleuth ,,,
1972,45,Documentary (Feature),,"Bert Haanstra, Producer",Ape and Super-Ape ,,,
1972,45,Documentary (Feature),,"Marvin Worth and Arnold Perl, Producers",Malcolm X ,,,
1972,45,Documentary (Feature),,"Robert Hendrickson and Laurence Merrick, Producers",Manson ,,,
1972,45,Documentary (Feature),1,"Howard Smith and Sarah Kernochan, Producers",Marjoe ,,,
1972,45,Documentary (Feature),,"Eckehard Munck, Producer",The Silent Revolution ,,,
1972,45,Documentary (Short Subject),,"Peter Schamoni, Producer",Hundertwasser's Rainy Day ,,,
1972,45,Documentary (Short Subject),,"Giorgio Treves, Producer",K-Z ,,,
1972,45,Documentary (Short Subject),,"Tadeusz Jaworski, Producer",Selling Out ,,,
1972,45,Documentary (Short Subject),1,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers",This Tiny World ,,,
1972,45,Documentary (Short Subject),,"Humphrey Swingler, Producer",The Tide of Traffic ,,,
1972,45,Film Editing,1,David Bretherton,Cabaret ,,,
1972,45,Film Editing,,Tom Priestley,Deliverance ,,,
1972,45,Film Editing,,"William Reynolds, Peter Zinner",The Godfather ,,,
1972,45,Film Editing,,"Frank P. Keller, Fred W. Berger",The Hot Rock ,,,
1972,45,Film Editing,,Harold F. Kress,The Poseidon Adventure ,,,
